,price,Address,area,Bedrooms,Bathrooms,Status,Furnished_status,Price_sqft
532,6000000.0,other,950.0,2.0,2.0,Ready to Move,Furnished,6315.789473684211
533,18000000.0,other,2200.0,3.0,2.0,Ready to Move,Unfurnished,8181.818181818182
534,8000000.0,other,2000.0,3.0,3.0,Ready to Move,Unfurnished,4000.0
535,7500000.0,other,1408.0,2.0,2.0,Ready to Move,Unfurnished,5326.704545454545
536,4100000.0,"Greater Noida West, Greater Noida, Delhi NCR",1035.0,2.0,2.0,Ready to Move,Unfurnished,3961.352657004831
537,4490000.0,"Siddhartha Vihar, Ghaziabad, Delhi NCR",1135.0,2.0,2.0,Ready to Move,Unfurnished,3955.947136563877
538,11000000.0,other,1954.0,3.0,3.0,Ready to Move,Semi-Furnished,5629.477993858752
539,7000000.0,other,1355.0,3.0,2.0,Ready to Move,Unfurnished,5166.051660516605
540,8000000.0,other,1290.0,2.0,2.0,Ready to Move,Unfurnished,6201.550387596899
541,4000000.0,other,1200.0,2.0,2.0,Ready to Move,Unfurnished,3333.333333333333
542,6500000.0,other,1100.0,2.0,2.0,Ready to Move,Unfurnished,5909.090909090909
